libtype,libtype2,libtype3
1148,8,8,3348
1149,8,8,3349
1150,8,8,3351
1151,8,8,3352
1152,8,8,3353
1153,8,8,3354
1154,8,8,3355
1155,8,8,3356
1156,8,8,3357
1157,8,8,3358
1158,8,8,3359
1159,8,8,3360
1160,8,8,3361
1161,8,8,3362
1162,8,8,3363
1163,8,8,3364
1164,8,8,3365
1165,8,8,3366
1166,8,8,3367
1167,8,8,3368
1168,8,8,3370
1169,8,8,3371
1170,8,8,3372
1171,8,8,3373
1172,8,8,3374
1173,8,8,3375
1174,8,8,3376
1175,8,8,3377
1176,8,8,3378
1177,8,8,3379
1178,8,8,3380
1179,8,8,3381
1180,8,8,3382
1181,8,8,3383
1182,8,8,3384
1183,8,8,3385
1184,8,8,3386
1185,8,8,3387
1186,8,8,3388
1187,8,8,3389
1188,8,8,3390
1189,8,8,3391
1190,8,8,3392
1191,8,8,3393
1192,8,8,3394
1193,8,8,3395
1194,8,8,3396
1195,8,8,3397
1196,8,8,3398
1197,8,8,3399
1198,8,8,3400
1199,8,8,3401
1200,8,8,3402
1201,8,8,3403
1202,8,8,3404
1203,8,8,3405
1204,8,8,3406
1205,8,8,3408
1206,8,8,3409
1207,8,8,3410
1208,8,8,3411
1209,8,8,3412
1210,8,8,3413
1211,8,8,3414
1212,8,8,3415
1213,8,8,3416
1214,8,8,3417
1215,8,8,3418
1216,8,8,3419
1217,8,8,3420
1218,8,8,3421
1219,8,8,3422
1220,8,8,3423
1221,8,8,3424
1222,8,8,3425
1223,8,8,3426
1224,8,8,3427
1225,8,8,3428
1226,8,8,3429
1227,8,8,3430
1228,8,8,3431
1229,8,8,3432
1230,8,8,3433
1231,8,8,3435
1232,8,8,3436
1233,8,8,3437
1234,8,8,3438
1235,8,8,3439
1236,8,8,3440
1237,8,8,3441
1238,8,8,3442
1239,8,8,3444
1240,8,8,3445
1241,8,8,3446
1242,8,8,3447
1243,8,8,3448
1244,8,8,3449
1245,8,8,3450
1246,8,8,3451
1247,8,8,3452
1248,8,8,3453
1249,8,8,3454
1250,8,8,3456
1251,8,8,3457
1252,8,8,3458
1253,8,8,3459
1254,8,8,3460
1255,8,8,3461
1256,8,8,3462
1257,8,8,3463
1258,8,8,3464
1259,8,8,3465
1260,8,8,3468
1261,8,8,3469
1262,8,8,3470
1263,8,8,3471
1264,8,8,3472
1265,8,8,3473
1266,8,8,3474
1267,8,8,3475
1268,8,8,3476
1269,8,8,3477
1270,8,8,3478
1271,8,8,3479
1272,8,8,3480
1273,8,8,3481
1274,8,8,3482
1275,8,8,3483
1276,8,8,3484
1277,8,8,3485
1278,8,8,3486
1279,8,8,3487
1280,8,8,3488
1281,8,8,3489
1282,8,8,3490
1283,8,8,3491
1284,8,8,3492
1285,8,8,3493
1286,8,8,3494
1287,8,8,3495
1288,8,8,3496
1289,8,8,3497
1290,8,8,3498
1291,8,8,3499
1292,8,8,3500
1293,8,8,3501
1294,8,8,3502
1295,8,8,3503
1296,8,8,3504
1297,8,8,3505
1298,8,8,3506
1299,8,8,3507
1300,8,8,3508
1301,8,8,3509
1302,8,8,3510
1303,8,8,3511
1304,8,8,3512
1305,8,8,3513
1306,8,8,3514
1307,8,8,3515
1308,8,8,3516
1309,8,8,3517
1310,8,8,3518
1311,8,8,3519
1312,8,8,3520
1313,8,8,3521
1314,8,8,3522
1315,8,8,3523
1316,8,8,3524
1317,8,8,3525
1318,8,8,3526
1319,8,8,3527
1320,8,8,3528
1321,8,8,3529
1322,8,8,3530
1323,8,8,3531
1324,8,8,3532
1325,8,8,3533
1326,8,8,3534
1327,8,8,3535
1328,8,8,3536
1329,8,8,3537
1330,8,8,3538
1331,8,8,3539
1332,8,8,3540
1333,8,8,3541
1334,8,8,3542
1335,8,8,3543
1336,8,8,3544
1337,8,8,3545
1338,8,8,3546
1339,8,8,3547
1340,8,8,3548
1341,8,8,3549
1342,8,8,3550
1343,8,8,3551
1344,8,8,3552
1345,8,8,3553
1346,8,8,3554
1347,8,8,3555
1348,8,8,3556
1349,8,8,3557
1350,8,8,3558
1351,8,8,3559
1352,8,8,3560
1353,8,8,3561
1354,8,8,3562
1355,8,8,3563
1356,8,8,3564
1357,8,8,3565
1358,8,8,3566
1359,8,8,3567
1360,8,8,3568
1361,8,8,3569
1362,8,8,3570
1363,8,8,3571
1364,8,8,3572
1365,8,8,3573
1366,8,8,3574
1367,8,8,3575
1368,8,8,3576
1369,8,8,3577
1370,8,8,3578
1371,8,8,3579
1372,8,8,3580
1373,8,8,3581
1374,8,8,3582
1375,8,8,3583
1376,8,8,3584
1377,8,8,3585
1378,8,8,3586
1379,8,8,3587
1380,8,8,3588
1381,8,8,3589
1382,8,8,3590
1383,8,8,3591
1384,8,8,3592
1385,8,8,3593
1386,8,8,3594
1387,8,8,3595
1388,8,8,3596
1389,8,8,3597
1390,8,8,3598
1391,8,8,3599
1392,8,8,3600
1393,8,8,3601
1394,8,8,3602
1395,8,8,3603
1396,8,8,3604
1397,8,8,3605
1398,8,8,3606
1399,8,8,3607
1400,8,8,3608
1401,8,8,3609
1402,8,8,3610
1403,8,8,3611
1404,8,8,3612
1405,8,8,3613
1406,8,8,3615
1407,8,8,3616
1408,8,8,3617
1409,8,8,3618
1410,8,8,3619
1411,8,8,3620
1412,8,8,3621
1413,8,8,3622
1414,8,8,3623
1415,8,8,3624
1416,8,8,3625
1417,8,8,3626
1418,8,8,3627
1419,8,8,3628
1420,8,8,3629
1421,8,8,3631
1422,8,8,3632
1423,8,8,3633
1424,8,8,3634
1425,8,8,3635
1426,8,8,3636
1427,8,8,3637
1428,8,8,3640
1429,8,8,3641
1430,8,8,3642
1431,8,8,3643
1432,8,8,3644
1433,8,8,3645
1434,8,8,3646
1435,8,8,3647
1436,8,8,3648
1437,8,8,3649
1438,8,8,3650
1439,8,8,3651
1440,8,8,3652
1441,8,8,3653
1442,8,8,3654
1443,8,8,3655
1444,8,8,3656
1445,8,8,3657
1446,8,8,3658
1447,8,8,3659
1448,8,8,3660
1449,8,8,3661
1450,8,8,3662
1451,8,8,3663
1452,8,8,3664
1453,8,8,3665
1454,8,8,3666
1455,8,8,3667
1456,8,8,3668
1457,8,8,3669
1458,8,8,3670
1459,8,8,3671
1460,8,8,3672
1461,8,8,3673
1462,8,8,3674
1463,8,8,3675
1464,8,8,3676
1465,8,8,3677
1466,8,8,3678
1467,8,8,3679
1468,8,8,3680
1469,8,8,3681
1470,8,8,3682
1471,8,8,3683
1472,8,8,3684
1473,8,8,3685
1474,8,8,3686
1475,8,8,3687
1476,8,8,3689
1477,8,8,3690
1478,8,8,3691
1479,8,8,3692
1480,8,8,3693
1481,8,8,3694
1482,8,8,3695
1483,8,8,3696
1484,8,8,3697
1485,8,8,3698
1486,8,8,3699
1487,8,8,3700
1488,8,8,3701
1489,8,8,3702
1490,8,8,3703
1491,8,8,3704
1492,8,8,3705
1493,8,8,3706
1494,8,8,3707
1495,8,8,3708
1496,8,8,3710
1497,8,8,3711
1498,8,8,3712
1499,8,8,3713
1500,8,8,3714
1501,8,8,3715
1502,8,8,3716
1503,8,8,3717
1504,8,8,3718
